Symbol,Beta_5Y_Yahoo,Correlation,R_Squared,Positive_Beta,Negative_Beta,Standard_Error,Months,Positive_Months,Negative_Months,Start_Date,End_Date
AMZN,1.2831101446109385,0.6589198825912715,0.43417541167409535,1.1138798000743324,2.0504006847915877,0.192334962683827,60,40,20,2020-11,2025-10
AMCR,0.7200899177290889,0.5465161977065277,0.29867995435560046,0.7293238191049443,-0.03746964640512416,0.14488646668465274,60,40,20,2020-11,2025-10
AEE,0.5018306997173865,0.41765637636388325,0.17443684871740964,-0.001442530067056598,0.4227402464820138,0.1433505168279671,60,40,20,2020-11,2025-10
AEP,0.5167928110847432,0.41866083750767963,0.17527689686263176,0.11241093622643629,0.5044126961060009,0.14719539027759224,60,40,20,2020-11,2025-10
AXP,1.2714743748288937,0.69209073047038,0.47898957920302426,1.94017885040542,0.818160877661748,0.17412205633766478,60,40,20,2020-11,2025-10
AIG,0.7293303121091064,0.4436603065954938,0.1968344676484076,1.137823853203943,0.6286008869772086,0.19344709994829373,60,40,20,2020-11,2025-10
AMT,0.8547022091070995,0.5143132018175116,0.26451806956378054,0.7283016290208082,0.7483925158342509,0.18713678370176762,60,40,20,2020-11,2025-10
AWK,0.7275335593303678,0.5266586654259707,0.27736934986826467,0.5442429919033577,0.6150396410839587,0.15419418258493062,60,40,20,2020-11,2025-10
AMP,1.2907950062033235,0.7936285357013908,0.6298462526795341,1.896661422908648,1.206163986421576,0.1299322861952046,60,40,20,2020-11,2025-10
AME,1.115045721552,0.8069585055361498,0.6511820296571367,1.7511576326371736,0.9390611208370654,0.10715856784693102,60,40,20,2020-11,2025-10
AMGN,0.4442172357577187,0.30763892414924227,0.09464170765170327,0.1351482673523834,0.6203004845615356,0.18040574624077066,60,40,20,2020-11,2025-10
APH,1.1972914494887892,0.770747538554958,0.5940517681885266,1.8501140196152692,1.262663763675674,0.12995980911998362,60,40,20,2020-11,2025-10
ADI,1.1007304242559028,0.643926710332448,0.4146416082795685,1.4887660639556197,1.147297399187451,0.17172813681364632,60,40,20,2020-11,2025-10
AON,0.8614244233628999,0.5677651323786175,0.322357245544909,0.8957498662690042,0.5706177314258046,0.16399660801682073,60,40,20,2020-11,2025-10
APA,1.131258348884822,0.3667153269336548,0.1344801310080573,2.0569062875680064,0.3640920938798818,0.37684022973291803,60,40,20,2020-11,2025-10
APO,1.6383504564963252,0.6920013577679759,0.47886587915272216,2.0954149204936883,1.7148727566000523,0.22441951409592675,60,40,20,2020-11,2025-10
AAPL,1.0860793291735111,0.6822691349844339,0.46549117255240763,1.1689559282248256,1.5664125411987617,0.15281615474607108,60,40,20,2020-11,2025-10
AMAT,1.8323367295054047,0.7081830940147271,0.5015232946482722,2.0697943922188418,2.2921341261949184,0.23986571086116276,60,40,20,2020-11,2025-10
APP,2.526823884223083,0.46884989294270535,0.21982022211238642,0.3883411413288514,4.070164888943801,0.6601411797210104,54,35,19,2021-05,2025-10
APTV,1.5870793458343082,0.6651198277221356,0.4423843852291232,2.1546522198690465,1.3305308026022862,0.23396570988746795,60,40,20,2020-11,2025-10
ACGL,0.48061456300413646,0.30185249181102164,0.09111492681252288,0.5013724694898498,-0.4266716688228613,0.19931622332997062,60,40,20,2020-11,2025-10
ADM,0.7039072950723377,0.3946375787073929,0.1557388185280338,0.9024138885459649,0.18043846311218759,0.21519959123734145,60,40,20,2020-11,2025-10
ANET,1.4812670943759298,0.6066544866917711,0.36802966622325645,1.718530470865393,2.81696135532323,0.2548744552656199,60,40,20,2020-11,2025-10
AJG,0.7273535255228827,0.5203442062940394,0.27075809302377385,1.2317038095911437,0.27848829614903925,0.15673884319743167,60,40,20,2020-11,2025-10
AIZ,0.5652901170840503,0.39838311446307545,0.15870910588929987,0.42713886374394483,0.13085983380008376,0.17089508311311508,60,40,20,2020-11,2025-10
T,0.40136075322716736,0.2709787945426453,0.07342950709178514,0.6903064657413961,0.38476549128261933,0.18720818496305122,60,40,20,2020-11,2025-10
ATO,0.7314626850111648,0.576123287211078,0.33191804206689834,0.48637244024840515,0.7924709655708854,0.13626289788596646,60,40,20,2020-11,2025-10
ADSK,1.5157881315802697,0.7309616846376927,0.5343049844083739,1.5840222978478242,0.8730377222956103,0.18581496483103224,60,40,20,2020-11,2025-10
ADP,0.8725508881828486,0.651504261179426,0.4244578023349495,0.8107833683457533,0.8949668216318201,0.1334129824587384,60,40,20,2020-11,2025-10
AZO,0.3843610341243358,0.28518933573648847,0.08133295721781954,0.35073125251517606,-0.21408392034262438,0.16961768945663475,60,40,20,2020-11,2025-10
AVB,0.8503226591852606,0.650834652622679,0.42358574505448343,1.0288328706609058,0.8619266805980813,0.13024661450358244,60,40,20,2020-11,2025-10
AVY,0.9887123484229321,0.6738635296554665,0.45409205659972357,1.4374181055200193,0.16375584878096716,0.14234549135842656,60,40,20,2020-11,2025-10
AXON,1.4508592687813509,0.47913659454687824,0.22957187623397965,2.9360048037309547,2.169129482527983,0.348994042920014,60,40,20,2020-11,2025-10
BKR,1.0388129045907233,0.41217332464300144,0.1698868495472651,0.689989774672568,0.9927820273834138,0.30151720928622694,60,40,20,2020-11,2025-10
BALL,1.131419532524071,0.6242933757342582,0.38974221898567574,1.7272040167806602,0.46072102258630776,0.1858992387117625,60,40,20,2020-11,2025-10
BAC,1.3432479257687924,0.7287532994891843,0.5310813715163728,1.719973458314154,1.106373983971156,0.16573353388611906,60,40,20,2020-11,2025-10
BAX,0.5819682016575161,0.3039597344165379,0.09239152014657226,-0.019977465884063537,0.17168731924314543,0.23950714564508754,60,40,20,2020-11,2025-10
BDX,0.2585156793973379,0.2161326914134036,0.04671334029760155,-0.2830927138627831,0.30982656914761,0.15334308218502496,60,40,20,2020-11,2025-10
BBY,1.247446558993902,0.6176272871454432,0.3814634658266399,1.366059319276743,0.706290361406886,0.20857591416719432,60,40,20,2020-11,2025-10
TECH,1.504623773740716,0.6570900881336423,0.431767383923478,1.1148709854193446,0.35346041323544236,0.22664810161499388,60,40,20,2020-11,2025-10
BIIB,0.09003159074928241,0.04603937474732239,0.0021196240271243874,-0.0776901997577392,-1.8219545883807573,0.25650199717801303,60,40,20,2020-11,2025-10
BLK,1.491147557680833,0.8488377870957602,0.7205255888016273,1.495408126096183,1.2223720583423456,0.12194189652225199,60,40,20,2020-11,2025-10
BX,1.7845247939228566,0.7415708474766534,0.5499273218272419,1.5242127740319078,2.091408400272147,0.2119811607445697,60,40,20,2020-11,2025-10
XYZ,2.7316337961903083,0.732355981029819,0.5363452829501489,3.779790983956763,2.269443632685527,0.3334905937680469,60,40,20,2020-11,2025-10
BK,1.1404584867512877,0.7154407857185767,0.5118555178696147,1.0908279450778129,0.9727381327018196,0.1462399339179184,60,40,20,2020-11,2025-10
BA,1.4421758629878456,0.5549475832160748,0.3079668201173623,3.0741743095854317,1.4700391653015672,0.28386753089202293,60,40,20,2020-11,2025-10
BKNG,1.3460861068980805,0.6723250870501095,0.4520210226769376,2.081048328158551,1.433621819760317,0.19460835296614767,60,40,20,2020-11,2025-10
BSX,0.5827063039920389,0.48082930711529037,0.23119682258097038,0.5491495246098145,0.46963333136687135,0.1395251101221891,60,40,20,2020-11,2025-10
BMY,0.3310020539845282,0.22590791040787292,0.05103438398485155,-0.10451198380151652,-0.7730043681630723,0.18741765167670724,60,40,20,2020-11,2025-10
AVGO,1.1855876432570547,0.5034137459292986,0.25342539959056837,0.73324805808541,2.51752190329795,0.2671967692940606,60,40,20,2020-11,2025-10
BR,0.9706026706407327,0.6937888872667084,0.4813430200947774,1.0057958828480098,0.8689408452057542,0.1322940339605754,60,40,20,2020-11,2025-10
BRO,0.7866056405414621,0.5061256894324874,0.2561632135035108,0.67500305623684,0.6742713892657966,0.1760043916593973,60,40,20,2020-11,2025-10
BLDR,1.6112772922659437,0.557862243643342,0.31121028288278363,1.2436904717690676,0.5439245364651012,0.31475500752789765,60,40,20,2020-11,2025-10
BG,0.7442510411407179,0.42840288653901437,0.1835290331949596,0.8924742856568825,0.8364233681899849,0.20612156855791358,60,40,20,2020-11,2025-10
BXP,1.2049693993439012,0.5799812513267772,0.33637825189057435,1.4029061871845454,0.7310130720834942,0.2222329092589783,60,40,20,2020-11,2025-10
CHRW,0.8697400661309757,0.5280867840450337,0.27887565148302595,0.4213631590967101,0.12425666015151118,0.18364337311856835,60,40,20,2020-11,2025-10
CDNS,1.0030000830047536,0.535092914385391,0.28632442702545147,0.9355391259924051,1.1561858844958006,0.20792570764515048,60,40,20,2020-11,2025-10
CPT,0.8230326195323777,0.5871187117529142,0.3447083816904017,0.81345771037858,0.5964416738800015,0.1490028022239981,60,40,20,2020-11,2025-10
CPB,0.012969286701801553,0.011298967214706173,0.00012766666011900505,0.20314610411366582,-0.49711195303964195,0.15070776228501107,60,40,20,2020-11,2025-10
COF,1.2014332555856548,0.5826447350858555,0.33947488732326697,0.9697077369579719,1.4948719337553307,0.2200525941483465,60,40,20,2020-11,2025-10
CAH,0.7031709666115459,0.4301446754533294,0.18502444182085023,1.7578315756641176,0.31280441438304735,0.19377809166874965,60,40,20,2020-11,2025-10
KMX,1.2652817727984822,0.5091096118968118,0.25919259692572244,0.8839459862550412,1.9405802500409364,0.28087598946175785,60,40,20,2020-11,2025-10
CCL,2.680989823412053,0.6383084103049659,0.4074376266660528,3.785166828635537,2.117067713113165,0.4245390439352099,60,40,20,2020-11,2025-10
CARR,1.2990412555283586,0.6898198450793819,0.4758514186653426,1.4508168948247455,1.0220015776773694,0.17901955372653924,60,40,20,2020-11,2025-10
CAT,1.499658444868927,0.7066311202056996,0.49932754004316193,1.610808597251493,0.5670661871495302,0.19717981387117892,60,40,20,2020-11,2025-10
CBOE,0.4195954998601014,0.399788070083305,0.15983050098093365,0.6870497616718988,0.1799693081152131,0.1263195151856203,60,40,20,2020-11,2025-10
CBRE,1.3993713413039535,0.6792684557940394,0.461405635036819,1.2089128623472232,1.12640325146238,0.19852190511035075,60,40,20,2020-11,2025-10
CDW,1.027983155620672,0.607357849739401,0.3688835576400688,1.1107654803696403,0.9316881606129295,0.17655584520432438,60,40,20,2020-11,2025-10
COR,0.6372456356777583,0.45355109491694573,0.20570859570036032,0.8085440910832644,0.5056653536878853,0.16442073476307473,60,40,20,2020-11,2025-10
CNC,0.4848641709559571,0.20762033594579074,0.04310620389824303,0.5983741451408314,-0.18352258308066427,0.29996326792805145,60,40,20,2020-11,2025-10
CNP,0.6018934543872584,0.48324161637102125,0.23352245979287722,0.826118808226684,0.6830351852200994,0.14318285308820206,60,40,20,2020-11,2025-10
CF,0.906282422662791,0.3941261736764058,0.1553354407768044,1.73227963324087,0.9688868039897642,0.27749580315124706,60,40,20,2020-11,2025-10
CRL,1.5223572679119635,0.6411156611911267,0.4110292910245357,1.4069571198020843,-0.05028078528461285,0.23928366422548958,60,40,20,2020-11,2025-10
SCHW,1.0266868407851206,0.4944224736799286,0.24445358247977966,1.637424145297978,0.7213835973487367,0.2370043794141507,60,40,20,2020-11,2025-10
CHTR,1.056737005987861,0.4323508787935672,0.1869272823935699,0.5412036754028565,2.228981234356343,0.2893884993962152,60,40,20,2020-11,2025-10
CVX,0.830946523722389,0.44325624711160305,0.19647610060346252,1.4891775832492729,0.27435942489998155,0.2206498378798851,60,40,20,2020-11,2025-10
CMG,0.9907169201264964,0.49348141266211343,0.24352390464299492,1.2280327723198223,0.9408805401415872,0.2292780020500575,60,40,20,2020-11,2025-10
CB,0.5822802024801081,0.44383606468621356,0.1969904523161447,0.8528917037273288,-0.08371331469728226,0.15436747249461844,60,40,20,2020-11,2025-10
CHD,0.4162642658648648,0.3494923466683091,0.12214490037972157,0.4740959521604092,0.37327053990094905,0.1465307869914669,60,40,20,2020-11,2025-10
CI,0.45222305716034816,0.23572496687938221,0.055566260010285855,0.9399665359365093,-0.5170224329299569,0.2448042021767168,60,40,20,2020-11,2025-10
CINF,0.6960179828168354,0.4379938953384125,0.1918386523537162,0.17681062650970192,0.7529572172473674,0.18758039409774752,60,40,20,2020-11,2025-10
CTAS,1.0032473264500685,0.6981927928430157,0.48747317597793044,1.1195362782492595,0.5633426477592087,0.13507561475550284,60,40,20,2020-11,2025-10
CSCO,0.951332541414194,0.6439525114232293,0.4146748369682841,0.9982624245221247,1.451128585941312,0.14840998180731568,60,40,20,2020-11,2025-10
C,1.3796754671299212,0.6676882306973464,0.44580757341175303,1.6898644684369946,0.8752342387415649,0.20198518544199592,60,40,20,2020-11,2025-10
CFG,1.1702211816515973,0.5046275438979804,0.2546489580605081,1.3464124226929188,0.6927128862436682,0.2628835662523779,60,40,20,2020-11,2025-10
CLX,0.5236701063458655,0.33802559500263685,0.11426130287688671,0.6557483488320492,0.5642301366334596,0.1914463142916393,60,40,20,2020-11,2025-10
CME,0.3802564899996897,0.3384015760650812,0.11451562668333094,0.8265555734000827,0.9607337947428563,0.13884195233958782,60,40,20,2020-11,2025-10
CMS,0.4258748832304984,0.37424830710065354,0.14006179536770513,0.005030704843116974,0.5312203769120656,0.138561254963939,60,40,20,2020-11,2025-10
KO,0.4271106351305334,0.39437452805351875,0.1555312683774357,0.5155153975835798,-0.1985445394805831,0.1306800580282008,60,40,20,2020-11,2025-10
CTSH,0.9733815457011487,0.6633700647567478,0.4400598428153717,1.1445758365599028,1.1006786326227096,0.14417303775416715,60,40,20,2020-11,2025-10
COIN,3.6819545401938627,0.6268226946784108,0.3929066905639043,6.690350085109991,3.3588931759091127,0.6346872317696548,54,35,19,2021-05,2025-10
CL,0.34964893153754467,0.33695131328550054,0.11353618752482353,0.49910266437281087,-0.15695267084474468,0.12828667853133813,60,40,20,2020-11,2025-10
CMCSA,0.9309976587607283,0.5656111658183758,0.3199159908984222,0.4308380256830829,1.4227600793418416,0.1782370146350772,60,40,20,2020-11,2025-10
CAG,0.033902787186888064,0.028696461384140216,0.0008234868959714504,0.3133412010960379,-0.9091580439031571,0.15506513758098586,60,40,20,2020-11,2025-10
COP,0.5854812915671778,0.2571298045060951,0.0661157363653427,1.0849053927168673,0.03740405517424116,0.28893033059598133,60,40,20,2020-11,2025-10
ED,0.3274824210722798,0.26905665347817864,0.07239148278087673,-0.06506413797386504,0.6307720958643371,0.15392622670321787,60,40,20,2020-11,2025-10
STZ,0.6295984068309424,0.4060052425049763,0.16484025694152468,0.9875780021716545,-0.1402010585149872,0.1860813114614281,60,40,20,2020-11,2025-10
CEG,1.119850407470295,0.39144415143566924,0.15322852369319115,0.9131426500635516,0.16205108571547736,0.4014570472955095,45,29,16,2022-02,2025-10
COO,1.019133032201936,0.6136281931091396,0.37653955937838757,0.360588373788175,0.608874831133324,0.17219321209811897,60,40,20,2020-11,2025-10
CPRT,1.0610432578707651,0.5775525031508671,0.3335668938958323,1.0970943255519423,0.8007738941827457,0.1969272900094699,60,40,20,2020-11,2025-10
GLW,1.146343081646443,0.6289896525665303,0.39562798303576463,1.2199909331191339,1.1931387254278785,0.18604126782447034,60,40,20,2020-11,2025-10
CPAY,0.9575353123518587,0.5199114162739039,0.27030788077193685,0.8834230922290855,0.515207822563228,0.20657667189062037,60,40,20,2020-11,2025-10
CTVA,0.8225636610721878,0.5077015579055911,0.25776087189976443,1.272284769712984,0.7068984989730086,0.18328163447094026,60,40,20,2020-11,2025-10
CSGP,0.8770867278319819,0.5031722342790534,0.25318229734937475,1.428698809591513,-0.5294140030767656,0.1977967613410646,60,40,20,2020-11,2025-10
COST,0.9884198400534594,0.6580886214036609,0.43308063362097104,1.335712701939624,1.1536469461950034,0.14849222754531916,60,40,20,2020-11,2025-10
CTRA,0.3017846503886478,0.13813286295468405,0.019080687828057524,0.4844694702663676,0.7279852085392883,0.28412063662692133,60,40,20,2020-11,2025-10
CRWD,1.1597576509002694,0.35738119493473514,0.12772131849297916,1.5164102302576188,1.4651264029112074,0.39796894343884803,60,40,20,2020-11,2025-10
CCI,0.9429116327392476,0.5339486667901611,0.2851011787669904,1.0847113664178971,0.5800995901670103,0.19605583890545947,60,40,20,2020-11,2025-10
CSX,1.312296211876964,0.7997381362763916,0.6395810866148363,1.6639928154519812,0.7951180915038886,0.12935221165036337,60,40,20,2020-11,2025-10
CMI,1.0705472544610026,0.6420431458595232,0.4122194011451928,1.0806177155948953,0.38685483378370406,0.16785537581493018,60,40,20,2020-11,2025-10
CVS,0.6024344246356663,0.3012532879890713,0.0907535435242264,0.4379581501539626,0.09653483218521278,0.25038297582138874,60,40,20,2020-11,2025-10
DHR,0.8041064322790163,0.5503613180222279,0.30289758037516384,0.41031108041864955,0.6268907664058094,0.16017691777237575,60,40,20,2020-11,2025-10
DRI,0.7452438448847756,0.5408087094811732,0.2924740602506921,1.309625842175087,0.16802315857889738,0.1521990379739707,60,40,20,2020-11,2025-10
DDOG,1.1851001691860301,0.4109785806134477,0.1689033937230441,1.049286463117784,1.520078251850733,0.34518159397493686,60,40,20,2020-11,2025-10
DVA,1.1391530674318575,0.5044008922894498,0.25442026014239316,1.4573854774413468,-0.3387988407458527,0.2560585548296356,60,40,20,2020-11,2025-10
DAY,1.2055310502856176,0.5386796905051947,0.29017580896277234,1.205446628801945,1.270453026299977,0.24757637523424356,60,40,20,2020-11,2025-10
DECK,1.1123377984622542,0.47873838012777375,0.2291904366073648,1.1717095251458627,0.6858797463888494,0.2678539157334971,60,40,20,2020-11,2025-10
DE,1.0427144862170623,0.5711717640576476,0.326237184056725,1.4957690114062652,1.1028764364014616,0.19676062801370503,60,40,20,2020-11,2025-10
DELL,1.0103352735025184,0.48826300550607804,0.23840076254582857,1.2538436195860945,1.0107118906961492,0.23711604856042268,60,40,20,2020-11,2025-10
DAL,1.5200576928221003,0.5663103193839815,0.32070737784078723,2.168342260757552,0.8833451005695242,0.29048254990547806,60,40,20,2020-11,2025-10
DVN,1.0414254052199563,0.3532889988858114,0.12481311673373892,1.7857406449059414,0.737527241899875,0.36210494618726896,60,40,20,2020-11,2025-10
DXCM,1.419073714416639,0.46270048556386967,0.2140917393410407,2.743385779531452,1.0625063718274863,0.3570071634610769,60,40,20,2020-11,2025-10
FANG,0.9991867431040315,0.36852808947939825,0.13581295273533536,2.088444932718157,1.0553279274308163,0.33095271420991723,60,40,20,2020-11,2025-10
DLR,0.969633616892497,0.5936402519371423,0.35240874871999406,0.7463171397735389,1.8599160556405785,0.1725920602166569,60,40,20,2020-11,2025-10
DG,0.30983150972671003,0.15438858004188225,0.02383583364734869,1.1277027495043925,-0.7637383924131467,0.2603501571660605,60,40,20,2020-11,2025-10
DLTR,0.8660760785361217,0.38059022700240464,0.14484892088974197,2.584440734589475,0.4897755944468163,0.27631587606133473,60,40,20,2020-11,2025-10
D,0.6435424474507349,0.46788117803073176,0.21891279675542524,0.5056523422430405,0.28978678090940857,0.15961635451161799,60,40,20,2020-11,2025-10
DPZ,1.0959052867583907,0.5364882565834773,0.28781964945197885,1.0338608895760184,1.3114286590825197,0.22635693193040915,60,40,20,2020-11,2025-10
DASH,1.7065455687488063,0.5372586801266814,0.28864688937146393,0.9823745519109633,3.492315043957072,0.3580000213904332,58,38,20,2021-01,2025-10
DOV,1.2869356444268243,0.8268250198480317,0.6836396134466983,1.5018234784170443,0.934889824938566,0.11495298993140278,60,40,20,2020-11,2025-10
DOW,0.886714998209379,0.5084064994154454,0.25847716864786713,0.9672631940649307,0.45486861010737023,0.19720650091798983,60,40,20,2020-11,2025-10
DHI,1.3734495367464883,0.6009806143323472,0.36117769880328543,1.2417129108491898,0.7194826773146814,0.23984368137359097,60,40,20,2020-11,2025-10
DTE,0.4550055090701497,0.4168881095615899,0.17379569589383623,0.2568804688734497,0.2620846966349788,0.13026473981244602,60,40,20,2020-11,2025-10
DUK,0.4579595406328468,0.42465387251686615,0.18033091144357086,0.1752108107512938,0.5045021495127097,0.12820273906704754,60,40,20,2020-11,2025-10
DD,1.10512661599441,0.5940699858010671,0.35291914802968005,1.1880459291387677,1.568245943075347,0.19648966178203442,60,40,20,2020-11,2025-10
EMN,1.3203477464651432,0.7205519416888764,0.5191951006716099,1.3080438905929226,1.3582616412101003,0.1668374261147021,60,40,20,2020-11,2025-10
ETN,1.19780776366655,0.71165422463574,0.5064517354418964,1.7588839042726303,0.945388749882105,0.15526333472058582,60,40,20,2020-11,2025-10
EBAY,1.2988343688233135,0.6487769612895605,0.42091154550011595,0.9407091418178568,1.0909525656682866,0.2000399831196255,60,40,20,2020-11,2025-10
ECL,1.0761764624784547,0.7412416408574715,0.5494391701410769,1.5393412168118874,1.016079591695228,0.1279635854283125,60,40,20,2020-11,2025-10
EIX,0.8476939536859709,0.4882399976471736,0.23837829530251223,1.1824660123468156,0.5355737575284463,0.1989579923498907,60,40,20,2020-11,2025-10
EW,1.02702502672899,0.519290229209515,0.2696623421524706,1.2669978043963137,0.745285416549278,0.22193138629513343,60,40,20,2020-11,2025-10
EA,0.7487577688774757,0.458346350124861,0.21008137667278168,0.5224116126648969,0.4724036769806067,0.19064470336646983,60,40,20,2020-11,2025-10
ELV,0.5953347997967787,0.32870292716601485,0.10804561432750646,0.8448892185506437,-0.7446382383972078,0.22460272645802756,60,40,20,2020-11,2025-10
EME,1.2481021793988747,0.6155011899897269,0.3788417148787699,1.7185405396979985,0.7372395961871635,0.20984971754324003,60,40,20,2020-11,2025-10
EMR,1.2979715671436112,0.7013404787459052,0.4918784671275355,1.7248280885609084,0.699292773678036,0.17322320775216127,60,40,20,2020-11,2025-10
ETR,0.6347467423917971,0.45208147485731487,0.20437765990916495,0.525000574754825,0.9820688696340781,0.1644459784923494,60,40,20,2020-11,2025-10
EOG,0.7354178902744865,0.3223292051210466,0.10389611647396575,1.3527649602508003,0.006399700558807368,0.2835957488167963,60,40,20,2020-11,2025-10
EPAM,1.662111471439659,0.48197363341147736,0.23229858330386122,0.6962667820335356,0.6941564119137115,0.39675192311356977,60,40,20,2020-11,2025-10
EQT,0.5543907651194376,0.20438207121324886,0.041772031033417555,0.5005371756619778,1.4772015344278044,0.34865316824580855,60,40,20,2020-11,2025-10
EFX,1.6536075382815205,0.7181344303091883,0.5157170599955027,2.00030612143972,0.8973675592569438,0.2104080166881109,60,40,20,2020-11,2025-10
EQIX,0.9184915870768164,0.6002097504085474,0.3602517444854909,0.5658098508147776,1.2572465192908224,0.16071732481776504,60,40,20,2020-11,2025-10
EQR,0.8862265221826369,0.6599698966172107,0.435560264440932,1.0654418495783928,0.8137687493900286,0.1324693513458985,60,40,20,2020-11,2025-10
ERIE,0.3389741868639058,0.17845730633259804,0.03184701018348675,0.3917411833163302,-0.7181169203167191,0.24540889103639688,60,40,20,2020-11,2025-10
ESS,0.8323605444636728,0.562917844472691,0.31687649962578096,1.0815509569324362,0.6752852692233476,0.16047304215204505,60,40,20,2020-11,2025-10
EL,1.1847972137615943,0.4886554631634052,0.23878416167944216,1.286580660470671,-0.6441841390121945,0.2777673380522325,60,40,20,2020-11,2025-10
EG,0.4788183552570692,0.32272156116440187,0.10414920604038881,0.821827649635225,0.10561401284353741,0.18439394395054218,60,40,20,2020-11,2025-10
EVRG,0.6107265226144677,0.5218073678798174,0.2722829291736632,0.12460246349488749,0.5542282517756711,0.1311003522279439,60,40,20,2020-11,2025-10
ES,0.695856198932898,0.47163261163516834,0.22243732035780953,0.45472469701233764,0.3273460547330463,0.17083206091392092,60,40,20,2020-11,2025-10
EXC,0.43678094949104057,0.3626215880393297,0.13149441611216534,0.08307610154521734,0.8981092076265754,0.14739486147600084,60,40,20,2020-11,2025-10
EXE,0.4715372990249872,0.2531228818790869,0.06407119333077417,0.40643290324680664,0.6831755898951118,0.24525008831268208,56,37,19,2021-03,2025-10
EXPE,1.5860517742392308,0.5469969494017982,0.2992056626548735,2.7304692309632945,1.7888525446127532,0.31872325422333964,60,40,20,2020-11,2025-10
EXPD,1.0907462871597533,0.6796351469654887,0.46190393299080135,0.5263801279802681,0.5008185977591407,0.1545837453217083,60,40,20,2020-11,2025-10
EXR,1.1485224222471888,0.5938688865467256,0.3526802544082477,1.1583928375365915,0.5375242595812498,0.20431221688020282,60,40,20,2020-11,2025-10
XOM,0.4933017147210703,0.27605550638114545,0.07620664260335061,1.0594597281114317,-0.11085735070910246,0.22552237244170523,60,40,20,2020-11,2025-10
FFIV,1.0978292345506049,0.6273330665610487,0.39354677640088903,0.6910770461867379,2.0579002808974467,0.17894570109900304,60,40,20,2020-11,2025-10
FDS,0.772934213881705,0.5298076804968015,0.2806961783134009,1.329168977588423,0.5340238429070214,0.16246748923351723,60,40,20,2020-11,2025-10
